112	241	136	122	175	224	86	233	254	186	235	195	165	147	67
168	189	218	113	200	118	153	219	172	191	204	178	212	227	137
140	33	170	92	226	166	72	134	218	57	11	187	229	179	25
133	236	55	102	29	83	31	250	83	106	184	154	231	103	241
145	112	241	143	168	140	32	249	53	66	185	106	139	152	123
139	253	205	232	72	107	223	23	194	254	44	48	217	101	120
184	231	136	54	98	45	50	49	96	48	77	119	71	102	82
198	225	86	161	131	71	163	93	87	224	180	162	116	92	137
58	85	139	0	63	41	169	91	166	2	60	142	53	90	83
82	124	112	73	129	138	147	12	221	186	219	106	214	57	119
163	86	247	250	90	69	96	100	174	154	110	195	91	78	29
47	16	24	226	245	49	63	34	184	249	38	174	102	197	219
189	175	167	15	14	200	244	144	181	66	152	83	67	139	79
133	198	159	75	159	132	64	191	236	117	237	156	130	109	208
59	146	175	113	101	198	50	58	153	56	237	126	44	104	27
221	178	41	48	233	51	115	92	4	113	6	142	82	83	91
79	80	114	137	181	41	2	125	238	131	87	190	5	1	238
247	24	108	117	5	198	148	198	21	114	142	167	168	254	234
118	5	63	105	218	138	58	69	51	53	199	18	122	186	145
205	103	178	186	11	77	20	237	55	92	188	103	217	117	156
125	21	74	49	106	182	13	69	199	48	36	106	136	195	229
112	74	20	85	44	15	118	225	107	95	56	16	152	8	15
128	205	2	27	126	154	120	19	18	236	162	52	203	250	80
206	58	202	154	88	148	238	79	198	22	11	210	191	90	59
228	72	29	26	223	237	223	217	0	182	140	139	210	133	249
132	24	89	206	114	133	103	114	182	156	3	31	245	158	174
233	22	154	82	96	51	131	82	122	55	68	26	110	105	22
228	62	132	48	156	209	253	52	37	180	179	230	133	153	207
144	87	218	75	120	48	222	132	117	210	93	167	40	238	216
68	222	151	62	77	32	227	14	172	99	10	88	158	81	1
159	205	62	113	31	192	217	148	135	90	86	212	24	109	221
208	2	81	97	248	22	213	13	245	150	169	176	60	95	81
95	5	52	125	170	204	114	242	203	90	105	161	110	199	188
61	238	133	187	91	226	124	50	170	159	110	12	160	63	116
70	124	93	105	60	90	98	184	124	143	215	57	146	254	150
14	247	110	78	217	16	157	65	22	122	149	77	157	32	124
201	234	161	56	213	47	24	174	78	221	123	227	214	110	66
152	222	248	169	238	31	88	236	186	74	46	202	25	108	84
139	245	60	95	250	107	224	26	154	240	237	145	190	39	29
170	45	37	241	128	217	105	78	151	68	10	198	76	145	113
101	40	117	202	183	179	149	209	45	238	106	40	98	210	112
77	150	197	173	33	181	130	167	26	149	184	0	228	185	48
186	133	209	51	208	185	225	140	101	181	209	96	13	183	114
140	118	223	174	22	29	205	76	225	141	49	109	220	16	125
103	238	187	75	140	17	143	145	1	8	70	145	59	31	185
52	218	66	6	189	5	254	66	57	57	56	12	37	167	123
98	174	96	119	238	214	231	75	73	163	224	173	40	234	152
104	58	108	219	146	46	99	30	19	220	104	3	105	162	5
196	39	137	145	186	183	60	217	247	157	38	223	133	107	80
146	156	12	147	46	190	35	249	157	41	173	141	178	11	120
244	195	172	87	104	252	64	166	109	220	226	128	94	116	85
176	25	209	128	27	230	150	3	75	193	73	72	244	226	249
60	156	53	19	33	90	59	195	190	107	223	121	0	178	223
44	73	33	90	48	7	253	100	21	183	109	168	48	228	181
212	105	97	140	222	119	217	148	163	140	82	75	162	203	193
76	73	216	24	201	6	170	81	17	204	222	156	239	169	224
249	129	228	155	160	242	228	38	67	38	239	177	109	224	53
32	20	197	148	29	132	92	92	192	252	35	58	45	38	192
193	224	150	117	230	77	26	17	22	215	242	88	224	252	18
130	134	80	134	103	183	51	85	180	71	133	229	202	121	166
39	45	197	196	111	89	245	155	218	29	178	76	71	43	44
232	214	158	88	3	162	171	84	158	20	178	179	0	122	69
246	160	199	118	59	126	236	160	136	234	246	157	224	163	215
79	90	122	205	191	127	117	36	94	80	227	249	49	62	151
